TIME,PRICE
2024-01-01 00:00:00,63.33
2024-01-01 00:15:00,60.019999999999996
2024-01-01 00:30:00,56.71
2024-01-01 00:45:00,53.400000000000006
2024-01-01 01:00:00,50.09
2024-01-01 01:15:00,49.4425
2024-01-01 01:30:00,48.795
2024-01-01 01:45:00,48.1475
2024-01-01 02:00:00,47.5
2024-01-01 02:15:00,46.5
2024-01-01 02:30:00,45.5
2024-01-01 02:45:00,44.5
2024-01-01 03:00:00,43.5
2024-01-01 03:15:00,43.25
2024-01-01 03:30:00,43.0
2024-01-01 03:45:00,42.75
2024-01-01 04:00:00,42.5
2024-01-01 04:15:00,42.3975
2024-01-01 04:30:00,42.295
2024-01-01 04:45:00,42.1925
2024-01-01 05:00:00,42.09
2024-01-01 05:15:00,42.1925
2024-01-01 05:30:00,42.295
2024-01-01 05:45:00,42.3975
2024-01-01 06:00:00,42.5
2024-01-01 06:15:00,42.5225
2024-01-01 06:30:00,42.545
2024-01-01 06:45:00,42.5675
2024-01-01 07:00:00,42.59
2024-01-01 07:15:00,42.785000000000004
2024-01-01 07:30:00,42.980000000000004
2024-01-01 07:45:00,43.175
2024-01-01 08:00:00,43.37
2024-01-01 08:15:00,43.099999999999994
2024-01-01 08:30:00,42.83
2024-01-01 08:45:00,42.56
2024-01-01 09:00:00,42.29
2024-01-01 09:15:00,40.62
2024-01-01 09:30:00,38.95
2024-01-01 09:45:00,37.28
2024-01-01 10:00:00,35.61
2024-01-01 10:15:00,34.1575
2024-01-01 10:30:00,32.705
2024-01-01 10:45:00,31.2525
2024-01-01 11:00:00,29.8
2024-01-01 11:15:00,23.15
2024-01-01 11:30:00,16.5
2024-01-01 11:45:00,9.849999999999998
2024-01-01 12:00:00,3.2
2024-01-01 12:15:00,2.915
2024-01-01 12:30:00,2.63
2024-01-01 12:45:00,2.345
2024-01-01 13:00:00,2.06
2024-01-01 13:15:00,1.9775
2024-01-01 13:30:00,1.895
2024-01-01 13:45:00,1.8125
2024-01-01 14:00:00,1.73
2024-01-01 14:15:00,2.7275
2024-01-01 14:30:00,3.7249999999999996
2024-01-01 14:45:00,4.7225
2024-01-01 15:00:00,5.72
2024-01-01 15:15:00,8.9125
2024-01-01 15:30:00,12.105
2024-01-01 15:45:00,15.2975
2024-01-01 16:00:00,18.49
2024-01-01 16:15:00,23.1175
2024-01-01 16:30:00,27.744999999999997
2024-01-01 16:45:00,32.3725
2024-01-01 17:00:00,37.0
2024-01-01 17:15:00,39.625
2024-01-01 17:30:00,42.25
2024-01-01 17:45:00,44.875
2024-01-01 18:00:00,47.5
2024-01-01 18:15:00,49.3675
2024-01-01 18:30:00,51.235
2024-01-01 18:45:00,53.1025
2024-01-01 19:00:00,54.97
2024-01-01 19:15:00,56.4525
2024-01-01 19:30:00,57.935
2024-01-01 19:45:00,59.4175
2024-01-01 20:00:00,60.9
2024-01-01 20:15:00,60.675
2024-01-01 20:30:00,60.45
2024-01-01 20:45:00,60.225
2024-01-01 21:00:00,60.0
2024-01-01 21:15:00,56.875
2024-01-01 21:30:00,53.75
2024-01-01 21:45:00,50.625
2024-01-01 22:00:00,47.5
