yhat1,yhat8,yhat12
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
43.47112274169922,,
43.10905838012695,,
43.34105682373047,,
43.3262825012207,,
43.04563522338867,,
42.72353744506836,,
42.97659683227539,,
43.0012321472168,55.66371536254883,
42.98299789428711,52.211246490478516,
42.85720443725586,48.76490783691406,
42.230472564697266,44.65859603881836,
41.91855239868164,40.13673400878906,51.53675842285156
41.61520004272461,36.31987762451172,46.08268737792969
41.456390380859375,33.939937591552734,40.90422821044922
38.653968811035156,31.703659057617188,35.91386795043945
37.03447723388672,30.137592315673828,31.151092529296875
35.54594039916992,29.64098358154297,27.679899215698242
34.492042541503906,28.839092254638672,26.020477294921875
32.932613372802734,29.75029945373535,25.00431251525879
31.505970001220703,31.328624725341797,24.889829635620117
30.15991973876953,33.27985763549805,25.856719970703125
29.075471878051758,30.50017547607422,26.48262596130371
17.826030731201172,31.14813232421875,28.50517463684082
10.880916595458984,32.25513458251953,30.882492065429688
4.461090564727783,32.4847297668457,33.296627044677734
-0.35914361476898193,31.87148666381836,31.237548828125
3.100123882293701,30.974781036376953,31.803951263427734
2.779080390930176,30.022232055664062,32.67100143432617
2.4926223754882812,28.574148178100586,32.6738395690918
1.7863729000091553,8.988648414611816,31.97106170654297
2.258268356323242,2.738795757293701,31.012733459472656
2.244727611541748,-0.24299216270446777,30.169422149658203
2.2485408782958984,-4.578444957733154,29.13702392578125
1.843419075012207,8.732854843139648,12.461633682250977
4.170295715332031,9.547990798950195,7.279568672180176
5.3556599617004395,9.243432998657227,5.556729793548584
6.390591621398926,9.93609619140625,2.898172378540039
6.633569717407227,12.723394393920898,16.102323532104492
12.399361610412598,14.301456451416016,18.353683471679688
15.880599975585938,15.474390029907227,19.169342041015625
18.93208885192871,16.79793930053711,20.796064376831055
20.63014030456543,22.44170570373535,24.140222549438477
27.7952938079834,24.53306007385254,26.394878387451172
32.80183792114258,25.59734344482422,28.186811447143555
37.33831024169922,27.12889289855957,30.196189880371094
40.27094268798828,37.75890350341797,36.285587310791016
42.790164947509766,41.89860916137695,39.48003005981445
45.76327133178711,44.04883575439453,41.79005432128906
48.08156967163086,47.4979133605957,44.399784088134766
50.34700393676758,59.116214752197266,54.83639907836914
51.91496658325195,64.84347534179688,59.76683807373047
53.816139221191406,68.11695098876953,62.595489501953125
55.530372619628906,71.95095825195312,66.12858581542969
57.220767974853516,72.10017395019531,76.31655883789062
58.28523254394531,74.09867858886719,81.28507232666016
59.61587905883789,74.61262512207031,83.56404876708984
60.8632698059082,75.34032440185547,85.69728088378906
62.43061065673828,73.54492950439453,83.62043762207031
60.39469528198242,72.58037567138672,83.35749053955078
59.918582916259766,71.09213256835938,81.57823181152344
59.612308502197266,69.40379333496094,79.94689178466797
60.2612419128418,66.44477844238281,75.9998779296875
53.8744010925293,64.61721801757812,73.04232025146484
50.4460563659668,63.239044189453125,69.97219848632812
47.53593826293945,62.26966857910156,67.02808380126953
46.08473587036133,55.5178337097168,63.15037536621094
44.86001968383789,53.95684814453125,60.69630813598633
43.31827926635742,54.1309700012207,58.9865837097168
