module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,genset,genset,genset,genset,genset,genset,genset,load,load,load,pv,pv,pv,pv,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_production,current_status,genset_production,goal_status,reward,steps_until_down,steps_until_up,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0,0.0,0.0,-0.0,0.0,50.0,15.336487135304068,-0.0,0.5,0.0,1,3.338722161250235,1,-1.6693610806251176,0,0,-30.78768925194013,30.78768925194013,0.0,22.710979324507253,34.82345927989308,12.112479955385826,0.0,-1.6693610806251176,-1.6693610806251176,30.78768925194013,30.78768925194013,12.112479955385826,0.0,18.675209296554304,0.0,0.0,30.78768925194013
1,0.0,5.84980520973626,-11.69961041947252,0.0,34.66351286469593,7.377411365882445,-0.0,0.34663512864695933,0.0,1,38.469866853698115,1,-19.234933426849057,0,0,-39.9974730098443,39.9974730098443,0.0,14.306966747518974,14.306966747518974,0.0,0.0,-30.934543846321578,-30.934543846321578,45.84727821958056,45.84727821958056,0.0,5.84980520973626,45.84727821958056,0.0,0.0,39.9974730098443
2,0.0,9.762277629384286,-19.524555258768572,0.0,27.286101498813487,16.116786732793116,-0.0,0.27286101498813486,0.0,0,0.0,0,-0.0,0,0,-6.35450910340883,6.35450910340883,0.0,11.342572678210155,11.342572678210155,0.0,0.0,-19.524555258768572,-19.524555258768572,16.116786732793116,16.116786732793116,0.0,9.762277629384286,16.116786732793116,0.0,0.0,6.35450910340883
3,0.0,0.0,-0.0,0.0,11.16931476602037,1.8716590890505174,-0.0,0.1116931476602037,0.0,0,0.0,0,-0.0,0,0,-7.853697039844844,7.853697039844844,0.0,21.583700503350236,27.56573845414456,5.982037950794327,0.0,0.0,0.0,7.853697039844844,7.853697039844844,5.982037950794327,0.0,1.8716590890505174,0.0,0.0,7.853697039844844
4,0.0,0.0,-0.0,8.843077679116284,9.297655676969853,0.0,-0.0,0.09297655676969853,0.0,0,0.0,0,-0.0,0,0,-19.318836388098482,19.318836388098482,0.0,7.811534422063389,35.973448489278155,28.161914067214767,0.0,0.0,0.0,28.161914067214767,28.161914067214767,28.161914067214767,0.0,0.0,8.843077679116284,0.0,19.318836388098482
5,36.40664724310871,0.0,-364.06647243108705,17.868110049357135,18.140733356086137,0.0,-0.0,0.18140733356086136,0.0,0,0.0,0,-0.0,0,0,-39.69386019997462,39.69386019997462,0.0,0.0,21.15532300622305,21.15532300622305,0.0,-364.06647243108705,-364.06647243108705,57.56197024933176,57.56197024933176,57.56197024933176,0.0,0.0,17.868110049357135,0.0,39.69386019997462
6,0.6778700603423644,0.0,-6.778700603423644,8.270893909665588,36.00884340544327,0.0,-0.0,0.36008843405443275,0.0,1,9.345187446335768,1,-4.672593723167884,0,0,-50.79037351624332,50.79037351624332,0.0,0.0,49.03820991923077,49.03820991923077,0.0,-11.451294326591528,-11.451294326591528,59.0612674259089,59.06126742590891,49.71607997957314,0.0,9.345187446335768,8.270893909665588,0.0,50.79037351624332
7,0.0,20.317783191356057,-40.63556638271211,0.0,44.27973731510886,41.68323329388289,-0.0,0.4427973731510886,0.0,1,11.829990585275969,1,-5.914995292637984,0,0,-33.1954406878028,33.1954406878028,0.0,34.241486929243166,34.241486929243166,0.0,0.0,-46.550561675350096,-46.550561675350096,53.51322387915886,53.51322387915886,0.0,20.317783191356057,53.51322387915886,0.0,0.0,33.1954406878028
8,26.290464578540544,0.0,-262.9046457854054,3.6347275114483963,2.596504021225968,0.0,-0.0,0.02596504021225968,0.0,1,4.5648171101600905,1,-2.2824085550800453,0,0,-51.267149251470286,51.267149251470286,0.0,0.0,24.046595074218047,24.046595074218047,0.0,-265.1870543404855,-265.1870543404855,54.90187676291868,54.90187676291868,50.33705965275859,0.0,4.5648171101600905,3.6347275114483963,0.0,51.267149251470286
9,33.06699154045807,0.0,-330.6699154045807,45.266046276226305,6.231231532674364,0.0,-0.0,0.062312315326743646,0.0,1,15.683447502606374,1,-7.841723751303187,0,0,-23.090268676545666,23.090268676545666,0.0,0.0,19.605875909707528,19.605875909707528,0.0,-338.51163915588387,-338.51163915588387,68.35631495277198,68.35631495277197,52.67286745016561,0.0,15.683447502606374,45.266046276226305,0.0,23.090268676545666
