module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable28.csv.gz,renewable28.csv.gz,renewable28.csv.gz,renewable28.csv.gz,renewable29.csv.gz,renewable29.csv.gz,renewable29.csv.gz,renewable29.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
0,19209.5082444801,0.0,-192095.082444801,0.0,10.0,0.0,-0.0,0.01,0.239757908,23.9757908,0.0,0.0,100.0,1.0,0.08,-8.0,-7555.716557122502,7555.716557122502,0.0,-2997.4261578879723,2997.4261578879723,0.0,-8756.365529469624,8756.365529469624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192103.082444801,-192103.082444801,19309.5082444801,19309.5082444801,19209.5082444801,0.0,100.0,0.0,0.0,19309.5082444801,19309.5082444801,1,0.0,100.0
1,15165.98486627896,0.0,-151659.84866278962,0.0,10.0,0.0,-0.0,0.01,0.273658597,27.3658597,0.0,0.0,100.0,1.0,0.08,-8.0,-7554.699201588847,7554.699201588847,0.0,-1966.51514482345,1966.51514482345,0.0,-5744.7705198666645,5744.7705198666645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151667.84866278962,-151667.84866278962,15265.98486627896,15265.98486627896,15165.98486627896,0.0,100.0,0.0,0.0,15265.98486627896,15265.98486627896,1,0.0,100.0
2,15175.438420870989,0.0,-151754.38420870987,0.0,10.0,0.0,-0.0,0.01,0.270383127,27.0383127,0.0,0.0,100.0,1.0,0.08,-8.0,-7553.522489108409,7553.522489108409,0.0,-1969.226052200056,1969.226052200056,0.0,-5752.689879562524,5752.689879562524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151762.38420870987,-151762.38420870987,15275.438420870989,15275.438420870989,15175.438420870989,0.0,100.0,0.0,0.0,15275.438420870989,15275.438420870989,1,0.0,100.0
3,15180.042836844485,0.0,-151800.42836844485,0.0,10.0,0.0,-0.0,0.01,0.263688693,26.368869299999997,0.0,0.0,100.0,1.0,0.08,-8.0,-7552.055584033238,7552.055584033238,0.0,-1970.7743471680344,1970.7743471680344,0.0,-5757.212905643211,5757.212905643211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151808.42836844485,-151808.42836844485,15280.042836844485,15280.042836844485,15180.042836844485,0.0,100.0,0.0,0.0,15280.042836844485,15280.042836844485,1,0.0,100.0
4,15287.415411134407,0.0,-152874.15411134408,0.0,10.0,0.0,-0.0,0.01,0.263670279,26.3670279,0.0,0.0,100.0,1.0,0.08,-8.0,-7580.2915267471635,7580.2915267471635,0.0,-1990.955597256734,1990.955597256734,0.0,-5816.16828713051,5816.16828713051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152882.15411134408,-152882.15411134408,15387.415411134407,15387.415411134407,15287.415411134407,0.0,100.0,0.0,0.0,15387.415411134407,15387.415411134407,1,0.0,100.0
5,19812.76310825657,0.0,-198127.6310825657,0.0,10.0,0.0,-0.0,0.01,0.256445238,25.6445238,0.0,0.0,100.0,1.0,0.11,-11.0,-8088.516757359874,8088.516757359874,0.0,-3015.393351543824,3015.393351543824,0.0,-8808.852999352872,8808.852999352872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-198138.6310825657,-198138.6310825657,19912.76310825657,19912.76310825657,19812.76310825657,0.0,100.0,0.0,0.0,19912.76310825657,19912.76310825657,1,0.0,100.0
6,28383.16266498826,0.0,-283831.6266498826,0.0,10.0,0.0,-0.0,0.01,0.267006115,26.700611499999997,0.0,0.0,100.0,1.0,0.11,-11.0,-8256.484662263707,8256.484662263707,0.0,-5158.163029021129,5158.163029021129,0.0,-15068.514973703424,15068.514973703424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-283842.6266498826,-283842.6266498826,28483.16266498826,28483.16266498826,28383.16266498826,0.0,100.0,0.0,0.0,28483.16266498826,28483.16266498826,1,0.0,100.0
7,29651.09360786669,0.0,-296510.9360786669,0.0,10.0,0.0,-0.0,0.01,0.2745509439999999,27.45509439999999,0.0,0.0,100.0,1.0,0.11,-11.0,-7276.310136086855,7276.310136086855,0.0,-6018.269491604998,6018.269491604998,0.0,-17581.139533552523,17581.139533552523,0.0,0.0,77.6621141253508,77.6621141253508,0.0,0.0,1046.9634392523365,1046.9634392523365,0.0,-296521.9360786669,-296521.9360786669,30875.719161244375,30875.719161244375,30775.719161244375,0.0,100.0,0.0,0.0,30875.719161244375,29751.09360786669,1,0.0,100.0
