module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable4.csv.gz,renewable4.csv.gz,renewable4.csv.gz,renewable4.csv.gz,renewable43.csv.gz,renewable43.csv.gz,renewable43.csv.gz,renewable43.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
0,84119.06815234078,0.0,-841190.6815234078,0.0,10.0,0.0,-0.0,0.1,0.239757908,23.9757908,0.0,0.0,100.0,1.0,0.08,-8.0,-33688.35461220862,33688.35461220862,0.0,-19140.34012150552,19140.34012150552,0.0,-31390.37341862665,31390.37341862665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-841198.6815234078,-841198.6815234078,84219.06815234078,84219.06815234078,84119.06815234078,0.0,100.0,0.0,0.0,84219.06815234078,84219.06815234078,0,0.0,100.0
1,66663.45607519356,0.0,-666634.5607519357,0.0,10.0,0.0,-0.0,0.1,0.273658597,27.3658597,0.0,0.0,100.0,1.0,0.08,-8.0,-33611.87594571931,33611.87594571931,0.0,-12557.363132019243,12557.363132019243,0.0,-20594.216997455016,20594.216997455016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666642.5607519357,-666642.5607519357,66763.45607519356,66763.45607519356,66663.45607519356,0.0,100.0,0.0,0.0,66763.45607519356,66763.45607519356,0,0.0,100.0
2,66844.06402930437,0.0,-668440.6402930437,0.0,10.0,0.0,-0.0,0.1,0.270383127,27.0383127,0.0,0.0,100.0,1.0,0.08,-8.0,-33746.783329785845,33746.783329785845,0.0,-12574.673880138787,12574.673880138787,0.0,-20622.60681937974,20622.60681937974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-668448.6402930437,-668448.6402930437,66944.06402930437,66944.06402930437,66844.06402930437,0.0,100.0,0.0,0.0,66944.06402930437,66944.06402930437,0,0.0,100.0
3,66843.31262212394,0.0,-668433.1262212393,0.0,10.0,0.0,-0.0,0.1,0.263688693,26.368869299999997,0.0,0.0,100.0,1.0,0.08,-8.0,-33719.930712640096,33719.930712640096,0.0,-12584.560659907338,12584.560659907338,0.0,-20638.821249576507,20638.821249576507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-668441.1262212393,-668441.1262212393,66943.31262212394,66943.31262212394,66843.31262212394,0.0,100.0,0.0,0.0,66943.31262212394,66943.31262212394,0,0.0,100.0
4,67577.50702502865,0.0,-675775.0702502865,0.0,10.0,0.0,-0.0,0.1,0.263670279,26.3670279,0.0,0.0,100.0,1.0,0.08,-8.0,-34113.90890557071,34113.90890557071,0.0,-12713.42988651309,12713.42988651309,0.0,-20850.16823294485,20850.16823294485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-675783.0702502865,-675783.0702502865,67677.50702502865,67677.50702502865,67577.50702502865,0.0,100.0,0.0,0.0,67677.50702502865,67677.50702502865,0,0.0,100.0
5,84775.87368810177,0.0,-847758.7368810177,0.0,10.0,0.0,-0.0,0.1,0.256445238,25.6445238,0.0,0.0,100.0,1.0,0.11,-11.0,-34042.268577695315,34042.268577695315,0.0,-19255.07128734157,19255.07128734157,0.0,-31578.53382306489,31578.53382306489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-847769.7368810177,-847769.7368810177,84875.87368810177,84875.87368810177,84775.87368810177,0.0,100.0,0.0,0.0,84875.87368810177,84875.87368810177,1,0.0,100.0
6,123814.09348466786,0.0,-1238140.9348466785,0.0,10.0,0.0,-0.0,0.1,0.267006115,26.700611499999997,0.0,0.0,100.0,1.0,0.11,-11.0,-36957.60325492301,36957.60325492301,0.0,-32937.92393111207,32937.92393111207,0.0,-54018.56629863277,54018.56629863277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1238151.9348466785,-1238151.9348466785,123914.09348466786,123914.09348466786,123814.09348466786,0.0,100.0,0.0,0.0,123914.09348466786,123914.09348466786,0,0.0,100.0
7,138557.41924634256,0.0,-1385574.1924634255,0.0,10.0,0.0,-0.0,0.1,0.2745509439999999,27.45509439999999,0.0,0.0,100.0,1.0,0.11,-11.0,-37201.2246083778,37201.2246083778,0.0,-38430.21277073442,38430.21277073442,0.0,-63025.98186723033,63025.98186723033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1385585.1924634255,-1385585.1924634255,138657.41924634256,138657.41924634256,138557.41924634256,0.0,100.0,0.0,0.0,138657.41924634256,138657.41924634256,0,0.0,100.0
