module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable11.csv.gz,renewable11.csv.gz,renewable11.csv.gz,renewable11.csv.gz,renewable14.csv.gz,renewable14.csv.gz,renewable14.csv.gz,renewable14.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
0,51489.39447473438,0.0,-514893.9447473438,0.0,10.0,0.0,-0.0,0.1,0.239757908,23.9757908,0.0,0.0,100.0,1.0,0.08,-8.0,-12011.060793212666,12011.060793212666,0.0,-12011.060793212666,12011.060793212666,0.0,-27567.27288830905,27567.27288830905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-514901.9447473438,-514901.9447473438,51589.39447473438,51589.39447473438,51489.39447473438,0.0,100.0,0.0,0.0,51589.39447473438,51589.39447473438,1,0.0,100.0
1,51423.577262709994,0.0,-514235.77262709994,0.0,10.0,0.0,-0.0,0.1,0.273658597,27.3658597,0.0,0.0,100.0,1.0,0.08,-8.0,-12009.44353837381,12009.44353837381,0.0,-12009.44353837381,12009.44353837381,0.0,-27504.69018596238,27504.69018596238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-514243.77262709994,-514243.77262709994,51523.577262709994,51523.577262709994,51423.577262709994,0.0,100.0,0.0,0.0,51523.577262709994,51523.577262709994,1,0.0,100.0
2,51530.23118663971,0.0,-515302.31186639704,0.0,10.0,0.0,-0.0,0.1,0.270383127,27.0383127,0.0,0.0,100.0,1.0,0.08,-8.0,-12007.572959318622,12007.572959318622,0.0,-12007.572959318622,12007.572959318622,0.0,-27615.08526800246,27615.08526800246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515310.31186639704,-515310.31186639704,51630.23118663971,51630.23118663971,51530.23118663971,0.0,100.0,0.0,0.0,51630.23118663971,51630.23118663971,1,0.0,100.0
3,51503.59384011595,0.0,-515035.9384011595,0.0,10.0,0.0,-0.0,0.1,0.263688693,26.368869299999997,0.0,0.0,100.0,1.0,0.08,-8.0,-12005.241071151228,12005.241071151228,0.0,-12005.241071151228,12005.241071151228,0.0,-27593.1116978135,27593.1116978135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515043.9384011595,-515043.9384011595,51603.59384011595,51603.59384011595,51503.59384011595,0.0,100.0,0.0,0.0,51603.59384011595,51603.59384011595,1,0.0,100.0
4,51915.758674350596,0.0,-519157.58674350596,0.0,10.0,0.0,-0.0,0.1,0.263670279,26.3670279,0.0,0.0,100.0,1.0,0.08,-8.0,-12050.126770863048,12050.126770863048,0.0,-12050.126770863048,12050.126770863048,0.0,-27915.505132624505,27915.505132624505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519165.58674350596,-519165.58674350596,52015.758674350596,52015.758674350596,51915.758674350596,0.0,100.0,0.0,0.0,52015.758674350596,52015.758674350596,1,0.0,100.0
5,53472.95127432751,0.0,-534729.5127432751,0.0,10.0,0.0,-0.0,0.1,0.256445238,25.6445238,0.0,0.0,100.0,1.0,0.11,-11.0,-12858.03480915221,12858.03480915221,0.0,-12858.03480915221,12858.03480915221,0.0,-27856.881656023088,27856.881656023088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-534740.5127432751,-534740.5127432751,53572.95127432751,53572.95127432751,53472.95127432751,0.0,100.0,0.0,0.0,53572.95127432751,53572.95127432751,1,0.0,100.0
6,56392.603145122586,0.0,-563926.0314512259,0.0,10.0,0.0,-0.0,0.1,0.267006115,26.700611499999997,0.0,0.0,100.0,1.0,0.11,-11.0,-13125.047567221687,13125.047567221687,0.0,-13125.047567221687,13125.047567221687,0.0,-30242.508010679216,30242.508010679216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-563937.0314512259,-563937.0314512259,56492.603145122586,56492.603145122586,56392.603145122586,0.0,100.0,0.0,0.0,56492.603145122586,56492.603145122586,1,0.0,100.0
7,53475.6602068978,0.0,-534756.602068978,0.0,10.0,0.0,-0.0,0.1,0.2745509439999999,27.45509439999999,0.0,0.0,100.0,1.0,0.11,-11.0,-11566.898087570991,11566.898087570991,0.0,-11566.898087570991,11566.898087570991,0.0,-30441.86403175582,30441.86403175582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-534767.602068978,-534767.602068978,53575.6602068978,53575.6602068978,53475.6602068978,0.0,100.0,0.0,0.0,53575.6602068978,53575.6602068978,1,0.0,100.0
